arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_then_expand,58,l41_only,3,5,0.0,0.0,0.0,0.0,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.12681701683239352,14,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.12681701683239352,14,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.12681701683239352,0.0,0.08333333333333333,0.131
dense_then_expand,59,l41_only,1,5,1.0,0.2,0.33333333333333337,0.5,12,1.0,0.08333333333333333,0.15384615384615385,0.5,12,1.0,0.08333333333333333,0.15384615384615385,0.5,12,1.0,0.08333333333333333,0.15384615384615385,0.5,0.0,0.3333333333333333,0.3
dense_then_expand,6,no_l41,1,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.126
dense_then_expand,61,no_l41,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.285
dense_then_expand,74,l41_only,2,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.08
dense_then_expand,75,no_l41,2,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.197
dense_then_expand,81,l41_only,4,5,0.25,0.2,0.22222222222222224,0.24630238874073,12,0.75,0.25,0.375,0.47271225456538934,13,0.75,0.23076923076923078,0.3529411764705882,0.47271225456538934,13,0.75,0.23076923076923078,0.3529411764705882,0.47271225456538934,0.25,0.5,0.094
dense_then_expand,82,l41_only,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.138
dense_then_expand,87,l41_only,1,5,1.0,0.2,0.33333333333333337,0.43067655807339306,12,1.0,0.08333333333333333,0.15384615384615385,0.43067655807339306,12,1.0,0.08333333333333333,0.15384615384615385,0.43067655807339306,12,1.0,0.08333333333333333,0.15384615384615385,0.43067655807339306,0.0,0.25,0.066
dense_then_expand,90,l41_only,3,5,0.3333333333333333,0.2,0.25,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,0.0,0.2,0.132
dense_then_expand,91,l41_only,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.101
dense_then_expand,98,no_l41,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.066
cypher_walk,1,no_l41,2,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,7.168
cypher_walk,100,l41_only,3,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,4.744
cypher_walk,103,mixed_l41_other,5,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,5.014
cypher_walk,106,l41_only,1,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,8.988
cypher_walk,108,no_l41,4,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,2.478
cypher_walk,109,mixed_l41_other,2,5,0.5,0.2,0.28571428571428575,0.3065735963827292,8,1.0,0.25,0.4,0.5,8,1.0,0.25,0.4,0.5,8,1.0,0.25,0.4,0.5,0.0,0.3333333333333333,3.08
